x	region
0.373257209081203	east
0.800836369162425	east
0.847536254907027	east
0.896164302248508	east
0.026179910171777	east
0.113003156380728	east
0.861985872965306	east
0.35951836919412	east
0.289547864114866	east
0.0327047181781381	east
0.018216741271317	east
0.704171497141942	east
0.248670981964096	east
0.861798788188025	east
0.0438457347918302	east
0.983074049465358	east
0.13410196476616	east
0.501178075093776	east
0.176086048595607	east
0.686432615155354	east
0.0887464731931686	east
0.944043499883264	east
0.322271117242053	east
0.891798270633444	east
0.864612446166575	east
0.0167159845586866	east
0.239089116919786	east
0.535832510795444	east
0.650048641255125	east
0.700995055027306	east
0.345641380175948	west
0.403106927638873	west
0.726408729795367	west
0.187275716336444	west
0.875404901569709	west
0.983596587786451	west
0.34570721979253	west
0.108408848522231	west
0.360193315893412	west
0.708986988058314	west
0.644928698427975	west
0.564502344233915	west
0.628515553660691	west
0.391049738973379	west
0.237334070261568	west
0.020662636263296	west
0.814730733633041	west
0.0903797128703445	west
0.149056918686256	west
0.703512702602893	west
0.620711595984176	west
0.950900096911937	west
0.446061355760321	west
0.557570102624595	west
0.235315668396652	west
0.332104420522228	west
0.945672635920346	west
0.0172924047801644	west
0.792674322146922	west
0.490167831303552	west
