x	time
1.12502658173804	before
1.32001213888075	before
-1.83347327131337	before
-1.39593202644385	before
0.972775652020935	before
-2.58104760717813	before
-0.162153889877717	before
0.518392919806189	before
0.627838613978591	before
-0.405323598914791	before
-0.531614051212548	before
-0.848970862301498	before
1.50596111795053	before
-0.719182986058662	before
0.726233319847907	before
1.45399645331573	before
0.906306133660028	before
-0.297949073923649	before
0.444377752035804	before
-0.895309431046718	before
-0.569998744121466	before
1.0974227797087	before
-1.0219802132807	before
1.09056744529762	before
-1.3844111198699	before
1.3830681576231	before
-0.937356915425595	before
-0.898273299345953	before
-0.354650736856313	before
-0.111352205452047	before
0.474430413435653	after
2.55197881550656	after
0.753037134518544	after
3.0054290970761	after
0.849958820892909	after
2.85164478966544	after
3.6264780851456	after
1.24849321461952	after
1.62535813341064	after
1.70648174858466	after
2.19169097300439	after
3.16092187988448	after
3.46957887086438	after
4.51356564988867	after
1.08008547354479	after
1.3386058299686	after
1.28014728262424	after
1.90982586178098	after
0.427074861812249	after
4.34332995502647	after
0.842111638105502	after
2.2428205815343	after
2.61457243769286	after
2.03459713904859	after
1.47813735225777	after
2.56790259318702	after
3.04438792173834	after
2.92675119552761	after
3.02291873878948	after
1.92051483020701	after
